case_id,x_mm,ideal_normalised_intensity,nominal_normalised_intensity,absolute_difference
B0,-0.17822265625,0.013981489053578551,0.01404951354019422,6.80244866156695e-05
B0,-0.17333984375,0.03157291625958111,0.03170258465066066,0.00012966839107955014
B0,-0.16845703125000003,0.03942763349303775,0.039473872141889625,4.6238648851872066e-05
B0,-0.16357421875,0.03061119252807054,0.03046810135769419,0.00014309117037634989
B0,-0.15869140625,0.012277370030151375,0.012066890000615463,0.00021048002953591265
B0,-0.15380859375,0.00037276148845919707,0.0003276093241704081,4.515216428878897e-05
B0,-0.14892578125,0.006382694559971484,0.006544030381502327,0.00016133582153084365
B0,-0.14404296875,0.02705208148960995,0.02720739484548424,0.0001553133558742925
B0,-0.13916015625000003,0.04616841492680818,0.04612207626386812,4.633866294005695e-05
B0,-0.13427734375,0.047705458420261596,0.047500694363444285,0.0002047640568173109
B0,-0.12939453125,0.02977073492159966,0.029587584208209998,0.0001831507133896633
B0,-0.12451171875,0.007343793089615308,0.007275514713921652,6.827837569365561e-05
B0,-0.11962890625,0.0005838748695206885,0.0005973093611039252,1.3434491583236676e-05
B0,-0.11474609375000001,0.017704557444479352,0.01774723490947595,4.2677464996598163e-05
B0,-0.10986328125,0.04681051445498203,0.04685199986360555,4.148540862352473e-05
B0,-0.10498046875,0.06452148992736315,0.0645235422294684,2.0523021052598622e-06
B0,-0.10009765625000001,0.05537294256647285,0.05531907035119352,5.38722152793325e-05
B0,-0.09521484375,0.026146173528328945,0.026090073170418508,5.61003579104373e-05
B0,-0.09033203125,0.002207692924650327,0.0022007472738396054,6.945650810721675e-06
B0,-0.08544921875000001,0.007247779332743453,0.007223055753427452,2.4723579316000485e-05
B0,-0.08056640625,0.042288448787639425,0.04212533047994169,0.00016311830769773217
B0,-0.07568359375,0.08211134651853783,0.08184120413693464,0.0002701423816031806
B0,-0.07080078125,0.09420643237928622,0.09403345775994025,0.0001729746193459697
B0,-0.06591796875,0.0665325581726283,0.06657280359776592,4.0245425137613866e-05
B0,-0.06103515625,0.021164056839158427,0.021272820845625356,0.00010876400646692846
B0,-0.05615234375,0.00010268462786688443,9.504370897266582e-05,7.640918894218611e-06
B0,-0.05126953125,0.03150339187029143,0.03147296463566213,3.0427234629294697e-05
B0,-0.04638671875,0.10240272203493526,0.10263046457733516,0.0002277425423998919
B0,-0.04150390625,0.16241585636880423,0.162955809969123,0.0005399536003187766
B0,-0.03662109375,0.16074390097400706,0.16129853238547004,0.0005546314114629747
B0,-0.03173828125,0.0917352897741863,0.09201954777154607,0.0002842579973597742
B0,-0.02685546875,0.013358870388363423,0.013405748581966935,4.687819360351189e-05
B0,-0.02197265625,0.018791348742287727,0.018769047407229386,2.230133505834106e-05
B0,-0.01708984375,0.1745637007116287,0.17446883141602462,9.486929560406643e-05
B0,-0.01220703125,0.4657252797886457,0.46547077361443145,0.0002545061742142418
B0,-0.00732421875,0.788325430524429,0.7880156391082274,0.00030979141620168793
B0,-0.00244140625,1.0,0.9998493691635755,0.00015063083642452568
B0,0.00244140625,1.0,1.0,0.0
B0,0.00732421875,0.788325430524429,0.788253094955436,7.233556899299831e-05
B0,0.01220703125,0.46572527978864536,0.4655182030982259,0.00020707669041947208
B0,0.01708984375,0.17456370071162866,0.1744230479734509,0.00014065273817776003
B0,0.02197265625,0.018791348742287713,0.018802548084498674,1.1199342210960889e-05
B0,0.02685546875,0.013358870388363423,0.013257727005186515,0.00010114338317690832
B0,0.03173828125,0.0917352897741863,0.0912614206390784,0.00047386913510789885
B0,0.03662109375,0.16074390097400706,0.1600723312922144,0.0006715696817926609
B0,0.04150390625,0.16241585636880423,0.1619896685313453,0.0004261878374589301
B0,0.04638671875,0.1024027220349353,0.10238849943629319,1.422259864211628e-05
B0,0.05126953125,0.031503391870291414,0.031641649171055115,0.0001382573007637014
B0,0.05615234375,0.00010268462786688425,0.00011270908137999292,1.002445351310867e-05
B0,0.06103515625,0.021164056839158438,0.021083779954532686,8.027688462575178e-05
B0,0.06591796875,0.0665325581726283,0.06656700872794968,3.445055532137753e-05
B0,0.07080078125,0.09420643237928622,0.09440222227716971,0.00019578989788349155
B0,0.07568359375,0.08211134651853783,0.0823278445928225,0.00021649807428467116
B0,0.08056640625,0.042288448787639425,0.042410539699850765,0.0001220909122113395
B0,0.08544921875000001,0.007247779332743451,0.007281756170225134,3.397683748168276e-05
B0,0.09033203125,0.0022076929246503275,0.0021962065810757912,1.148634357453623e-05
B0,0.09521484375,0.026146173528328945,0.026123290349163036,2.2883179165909123e-05
B0,0.10009765625000001,0.05537294256647285,0.05540606052608283,3.311795960998093e-05
B0,0.10498046875,0.06452148992736317,0.06466914614676511,0.00014765621940193707
B0,0.10986328125,0.04681051445498203,0.047007470358360566,0.0001969559033785373
B0,0.11474609375000001,0.01770455744447936,0.017808259870773245,0.00010370242629388626
B0,0.11962890625,0.0005838748695206896,0.0005862030883485383,2.328218827848754e-06
B0,0.12451171875,0.007343793089615311,0.007417023593506106,7.323050389079506e-05
B0,0.12939453125,0.02977073492159966,0.03002057345549144,0.00024983853389178023
B0,0.13427734375,0.047705458420261596,0.04798825269330848,0.0002827942730468866
B0,0.13916015625000003,0.04616841492680818,0.0462715833369727,0.00010316841016452111
B0,0.14404296875,0.02705208148960995,0.026975643125454564,7.643836415538452e-05
B0,0.14892578125,0.006382694559971486,0.006305418761681857,7.727579828962963e-05
B0,0.15380859375,0.00037276148845919604,0.0003895237333363079,1.6762244877111833e-05
B0,0.15869140625,0.012277370030151372,0.012317908908776275,4.053887862490342e-05
B0,0.16357421875,0.03061119252807054,0.030603786642073808,7.405885996732836e-06
B0,0.16845703125000003,0.03942763349303775,0.03939647743984163,3.115605319612552e-05
B0,0.17333984375,0.03157291625958112,0.03155242910986777,2.0487149713352415e-05
B0,0.17822265625,0.01398148905357856,0.013959865965243397,2.162308833516223e-05
V1,-0.17822265625,0.06817052408064084,0.06885105874275622,0.0006805346621153868
V1,-0.17333984375,0.02151122335979785,0.02204423494987736,0.0005330115900795095
V1,-0.16845703125000003,2.7179639870525155e-05,8.738098851008472e-06,1.8441541019516684e-05
V1,-0.16357421875,0.025354318269264285,0.02457123116806952,0.0007830871011947661
V1,-0.15869140625,0.08009024498463303,0.07906407902529362,0.001026165959339409
V1,-0.15380859375,0.1203524553840867,0.12008448105134335,0.0002679743327433509
V1,-0.14892578125,0.11195872616675916,0.11292671062113706,0.0009679844543779015
V1,-0.14404296875,0.06062286647754083,0.0621774112638525,0.0015545447863116665
V1,-0.13916015625000003,0.009797092911429633,0.010668717590735908,0.0008716246793062741
V1,-0.13427734375,0.005804421968154953,0.005160167666503846,0.0006442543016511064
V1,-0.12939453125,0.05798021081866395,0.0560819263307006,0.0018982844879633504
V1,-0.12451171875,0.12779757478371687,0.12589868394599296,0.0018988908377239044
V1,-0.11962890625,0.1584921229090704,0.15806042774276732,0.00043169516630306437
V1,-0.11474609375000001,0.12276214584920798,0.12429788233167277,0.0015357364824647862
V1,-0.10986328125,0.048925496540241906,0.05116030057942623,0.0022348040391843224
V1,-0.10498046875,0.001292050709515506,0.0018652546793854119,0.000573203969869906
V1,-0.10009765625000001,0.02774621406160533,0.02533779770263729,0.0024084163589680394
V1,-0.09521484375,0.11670002747430862,0.11269468392572925,0.004005343548579371
V1,-0.09033203125,0.20127690304572343,0.19888575237216793,0.0023911506735554977
V1,-0.08544921875000001,0.21164121070465433,0.21293603788368615,0.0012948271790318155
V1,-0.08056640625,0.13533856306055542,0.13914388529710348,0.003805322236548059
V1,-0.07568359375,0.03479335644439638,0.03766510140190093,0.0028717449575045503
V1,-0.07080078125,0.0024360661631681086,0.0017311283780129445,0.0007049377851551641
V1,-0.06591796875,0.08472397888257942,0.08079587760033204,0.0039281012822473815
V1,-0.06103515625,0.23594612000159068,0.23171376211245606,0.004232357889134619
V1,-0.05615234375,0.3445746550698111,0.3431753751069429,0.001399279962868205
V1,-0.05126953125,0.31935709947313207,0.3217570116006762,0.002399912127544146
V1,-0.04638671875,0.1713065532408059,0.17543101953408513,0.0041244662932792275
V1,-0.04150390625,0.023429080831832677,0.025533708527125637,0.00210462769529296
V1,-0.03662109375,0.03047197532545544,0.02809350147516818,0.0023784738502872597
V1,-0.03173828125,0.2607994198747672,0.254956922140298,0.005842497734469154
V1,-0.02685546875,0.6280843560434697,0.6224227764150861,0.0056615796283835396
